,DATE,LAI
0,1/2/2002 7:30,0
1,1/2/2002 16:30,0
2,1/3/2002 7:30,0
3,1/3/2002 16:30,0
4,1/4/2002 7:30,0
5,1/4/2002 16:30,0
6,1/5/2002 7:30,0
7,1/5/2002 16:30,0
8,1/6/2002 7:30,0
9,1/6/2002 16:30,0
10,1/7/2002 7:30,0
11,1/7/2002 16:30,0
12,1/8/2002 7:30,0
13,1/8/2002 16:30,0
14,1/9/2002 7:30,0
15,1/9/2002 16:30,0
16,1/10/2002 7:30,0
17,1/10/2002 16:30,0
18,1/11/2002 7:30,0
19,1/11/2002 16:30,0
20,1/12/2002 7:30,0
21,1/12/2002 16:30,0
22,1/13/2002 7:30,0
23,1/13/2002 16:30,0
24,1/14/2002 7:30,0
25,1/14/2002 16:30,0
26,1/15/2002 7:30,0
27,1/15/2002 17:00,0
28,1/16/2002 7:30,0
29,1/16/2002 17:00,0
30,1/17/2002 7:30,0
31,1/17/2002 17:00,0
32,1/18/2002 7:30,0
33,1/18/2002 17:00,0
34,1/19/2002 7:30,0
35,1/19/2002 17:00,0
36,1/20/2002 7:30,0
37,1/20/2002 17:00,0
38,1/21/2002 7:00,0
39,1/21/2002 17:00,0
40,1/22/2002 7:00,0
41,1/22/2002 17:00,0
42,1/23/2002 7:00,0
43,1/23/2002 17:00,0
44,1/24/2002 7:00,0
45,1/24/2002 17:00,0
46,1/25/2002 7:00,0
47,1/25/2002 17:00,0
48,1/26/2002 7:00,0
49,1/26/2002 17:00,0
50,1/27/2002 7:00,0
51,1/27/2002 17:00,0
52,1/28/2002 7:00,0
53,1/28/2002 17:00,0
54,1/29/2002 7:00,0
55,1/29/2002 17:00,0
56,1/30/2002 7:00,0
57,1/30/2002 17:00,0
58,1/31/2002 7:00,0
59,1/31/2002 17:00,0
60,2/1/2002 7:00,0
61,2/1/2002 17:00,0
62,2/2/2002 7:00,0
63,2/2/2002 17:00,0
64,2/3/2002 7:00,0
65,2/3/2002 17:00,0
66,2/4/2002 7:00,0
67,2/4/2002 17:00,0
68,2/5/2002 7:00,0
69,2/5/2002 17:00,0
70,2/6/2002 7:00,0
71,2/6/2002 17:00,0
72,2/7/2002 7:00,0
73,2/7/2002 17:00,0
74,2/8/2002 7:00,0
75,2/8/2002 17:00,0
76,2/9/2002 7:00,0
77,2/9/2002 17:00,0
78,2/10/2002 7:00,0
79,2/10/2002 17:00,0
80,2/11/2002 7:00,0
81,2/11/2002 17:00,0
82,2/12/2002 7:00,0
83,2/12/2002 17:00,0
84,2/13/2002 7:00,0
85,2/13/2002 17:00,0
86,2/14/2002 7:00,0
87,2/14/2002 17:30,0
88,2/15/2002 7:00,0
89,2/15/2002 17:30,0
90,2/16/2002 7:00,0
91,2/16/2002 17:30,0
92,2/17/2002 7:00,0
93,2/17/2002 17:30,0
94,2/18/2002 6:30,0
95,2/18/2002 17:30,0
96,2/19/2002 6:30,0
97,2/19/2002 17:30,0
98,2/20/2002 6:30,0
99,2/20/2002 17:30,0
100,2/21/2002 6:30,0
101,2/21/2002 17:30,0
102,2/22/2002 6:30,0
103,2/22/2002 17:30,0
104,2/23/2002 6:30,0
105,2/23/2002 17:30,0
106,2/24/2002 6:30,0
107,2/24/2002 17:30,0
108,2/25/2002 6:30,0
109,2/25/2002 17:30,0
110,2/26/2002 6:30,0
111,2/26/2002 17:30,0
112,2/27/2002 6:30,0
113,2/27/2002 17:30,0
114,2/28/2002 6:30,0
115,2/28/2002 17:30,0
116,3/1/2002 6:30,0
117,3/1/2002 17:30,0
118,3/2/2002 6:30,0
119,3/2/2002 17:30,0
120,3/3/2002 6:30,0
121,3/3/2002 17:30,0
122,3/4/2002 6:30,0
123,3/4/2002 17:30,0
124,3/5/2002 6:30,0
125,3/5/2002 17:30,0
126,3/6/2002 6:30,0
127,3/6/2002 17:30,0
128,3/7/2002 6:30,0
129,3/7/2002 17:30,0
130,3/8/2002 6:30,0
131,3/8/2002 17:30,0
132,3/9/2002 6:30,0
133,3/9/2002 17:30,0
134,3/10/2002 6:30,0
135,3/10/2002 18:00,0
136,3/11/2002 6:30,0
137,3/11/2002 18:00,0
138,3/12/2002 6:30,0
139,3/12/2002 18:00,0
140,3/13/2002 6:00,0
141,3/13/2002 18:00,0
142,3/14/2002 6:00,0
143,3/14/2002 18:00,0
144,3/15/2002 6:00,0
145,3/15/2002 18:00,0
146,3/16/2002 6:00,0
147,3/16/2002 18:00,0
148,3/17/2002 6:00,0
149,3/17/2002 18:00,0
150,3/18/2002 6:00,0
151,3/18/2002 18:00,0
152,3/19/2002 6:00,0
153,3/19/2002 18:00,0
154,3/20/2002 6:00,0
155,3/20/2002 18:00,0
156,3/21/2002 6:00,0
157,3/21/2002 18:00,0
158,3/22/2002 6:00,0
159,3/22/2002 18:00,0
160,3/23/2002 6:00,0
161,3/23/2002 18:00,0
162,3/24/2002 6:00,0
163,3/24/2002 18:00,0
164,3/25/2002 6:00,0
165,3/25/2002 18:00,0
166,3/26/2002 6:00,0
167,3/26/2002 18:00,0
168,3/27/2002 6:00,0
169,3/27/2002 18:00,0
170,3/28/2002 6:00,0
171,3/28/2002 18:00,0
172,3/29/2002 6:00,0
173,3/29/2002 18:00,0
174,3/30/2002 6:00,0
175,3/30/2002 18:00,0
176,3/31/2002 6:00,0
177,3/31/2002 18:00,0
178,4/1/2002 6:00,0
179,4/1/2002 18:30,0
180,4/2/2002 6:00,0
181,4/2/2002 18:30,0
182,4/3/2002 6:00,0
183,4/3/2002 18:30,0
184,4/4/2002 6:00,0
185,4/4/2002 18:30,0
186,4/5/2002 5:30,0
187,4/5/2002 18:30,0
188,4/6/2002 5:30,0
189,4/6/2002 18:30,0
190,4/7/2002 5:30,0
191,4/7/2002 18:30,0
192,4/8/2002 5:30,0
193,4/8/2002 18:30,0
194,4/9/2002 5:30,0
195,4/9/2002 18:30,0
196,4/10/2002 5:30,0
197,4/10/2002 18:30,0
198,4/11/2002 5:30,0
199,4/11/2002 18:30,0
200,4/12/2002 5:30,0
201,4/12/2002 18:30,0
202,4/13/2002 5:30,0
203,4/13/2002 18:30,0
204,4/14/2002 5:30,0
205,4/14/2002 18:30,0
206,4/15/2002 5:30,0
207,4/15/2002 18:30,0
208,4/16/2002 5:30,0
209,4/16/2002 18:30,0
210,4/17/2002 5:30,0
211,4/17/2002 18:30,0
212,4/18/2002 5:30,0
213,4/18/2002 18:30,0
214,4/19/2002 5:30,0
215,4/19/2002 18:30,0
216,4/20/2002 5:30,0
217,4/20/2002 18:30,0
218,4/21/2002 5:30,0
219,4/21/2002 18:30,0
220,4/22/2002 5:30,0
221,4/22/2002 18:30,0
222,4/23/2002 5:30,0
223,4/23/2002 18:30,0
224,4/24/2002 5:30,0
225,4/24/2002 18:30,0
226,4/25/2002 5:30,0
227,4/25/2002 19:00,0
228,4/26/2002 5:30,0
229,4/26/2002 19:00,0
230,4/27/2002 5:30,0
231,4/27/2002 19:00,0
232,4/28/2002 5:30,0
233,4/28/2002 19:00,0
234,4/29/2002 5:00,0
235,4/29/2002 19:00,0
236,4/30/2002 5:00,0
237,4/30/2002 19:00,0
238,5/1/2002 5:00,0
239,5/1/2002 19:00,0
240,5/2/2002 5:00,0
241,5/2/2002 19:00,0
242,5/3/2002 5:00,0
243,5/3/2002 19:00,0
244,5/4/2002 5:00,0
245,5/4/2002 19:00,0
246,5/5/2002 5:00,0
247,5/5/2002 19:00,0
248,5/6/2002 5:00,0
249,5/6/2002 19:00,0
250,5/7/2002 5:00,0
251,5/7/2002 19:00,0
252,5/8/2002 5:00,0
253,5/8/2002 19:00,0
254,5/9/2002 5:00,0
255,5/9/2002 19:00,0
256,5/10/2002 5:00,0
257,5/10/2002 19:00,0
258,5/11/2002 5:00,0
259,5/11/2002 19:00,0
260,5/12/2002 5:00,0
261,5/12/2002 19:00,0
262,5/13/2002 5:00,0
263,5/13/2002 19:00,0
264,5/14/2002 5:00,0
265,5/14/2002 19:00,0
266,5/15/2002 5:00,0
267,5/15/2002 19:00,0
268,5/16/2002 5:00,0
269,5/16/2002 19:00,0
270,5/17/2002 5:00,0
271,5/17/2002 19:00,0
272,5/18/2002 5:00,0
273,5/18/2002 19:00,0
274,5/19/2002 5:00,0
275,5/19/2002 19:00,0
276,5/20/2002 5:00,0
277,5/20/2002 19:00,0
278,5/21/2002 5:00,0
279,5/21/2002 19:00,0
280,5/22/2002 5:00,0
281,5/22/2002 19:00,0
