,Unnamed: 0,DATE,LAI,NDVI
0,0,1/2/2002 7:30,0,0.065927567
1,1,1/2/2002 16:30,0,0.042721681
2,2,1/3/2002 7:30,0,0.05315464
3,3,1/3/2002 16:30,0,0.041177719
4,4,1/4/2002 7:30,0,0.047704523
5,5,1/4/2002 16:30,0,0.002045017
6,6,1/5/2002 7:30,0,0.062656989
7,7,1/5/2002 16:30,0,0.028901961
8,8,1/6/2002 7:30,0,0.045031891
9,9,1/6/2002 16:30,0,0.065849325
10,10,1/7/2002 7:30,0,0.029091491
11,11,1/7/2002 16:30,0,0.035891947
12,12,1/8/2002 7:30,0,0.033562388
13,13,1/8/2002 16:30,0,0.05218967
14,14,1/9/2002 7:30,0,0.061006686
15,15,1/9/2002 16:30,0,0.047803621
16,16,1/10/2002 7:30,0,0.068133706
17,17,1/10/2002 16:30,0,0.037047401
18,18,1/11/2002 7:30,0,0.05807835
19,19,1/11/2002 16:30,0,0.057443558
20,20,1/12/2002 7:30,0,0.045490347
21,21,1/12/2002 16:30,0,0.035842748
22,22,1/13/2002 7:30,0,0.061785359
23,23,1/13/2002 16:30,0,0.08160564
24,24,1/14/2002 7:30,0,0.037047401
25,25,1/14/2002 16:30,0,0.052794215
26,26,1/15/2002 7:30,0,0.041177719
27,27,1/15/2002 17:00,0,0.04539513
28,28,1/16/2002 7:30,0,0.055159349
29,29,1/16/2002 17:00,0,0.061263953
30,30,1/17/2002 7:30,0,0.062656989
31,31,1/17/2002 17:00,0,0.028365111
32,32,1/18/2002 7:30,0,0.032432622
33,33,1/18/2002 17:00,0,0.023547179
34,34,1/19/2002 7:30,0,0.062237726
35,35,1/19/2002 17:00,0,0.056372573
36,36,1/20/2002 7:30,0,0.041177719
37,37,1/20/2002 17:00,0,0.05218967
38,38,1/21/2002 7:00,0,0.05687858
39,39,1/21/2002 17:00,0,0.020243371
40,40,1/22/2002 7:00,0,0.047766717
41,41,1/22/2002 17:00,0,0.026197604
42,42,1/23/2002 7:00,0,0.063639173
43,43,1/23/2002 17:00,0,0.035891947
44,44,1/24/2002 7:00,0,0.047704523
45,45,1/24/2002 17:00,0,0.027340373
46,46,1/25/2002 7:00,0,0.05807835
47,47,1/25/2002 17:00,0,0.062656989
48,48,1/26/2002 7:00,0,0.040846652
49,49,1/26/2002 17:00,0,0.038410086
50,50,1/27/2002 7:00,0,0.055503906
